name;source;description;special_remark;category_1;category_2
Maize cultivation, drying and storage {RER} | Maize production Europe | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
Manifolds;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
market for styrene butadiene rubber (SBR);Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
market for wood chips, wet, measured as dry mass, CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Market for wood chips adapted from the dataset originally present in ecoinvent, but with a corrected carbon balance.;;material;Fuels\Synthetic\Feedstock
market for wood chips, wet, measured as dry mass, CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Market for wood chips adapted from the dataset originally present in ecoinvent, but with a corrected carbon balance.;;material;Fuels\Synthetic\Feedstock
market for wood chips, wet, measured as dry mass, CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Market for wood chips adapted from the dataset originally present in ecoinvent, but with a corrected carbon balance.;;material;Fuels\Synthetic\Feedstock
MEA hot pressing;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Membrane;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Methane production, synthetic, from electrochemical methanation;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;Production of synthetic methane from hydrogen and biogenic carbon.;;material;Fuels\Synthetic\Transformation
Methane, synthetic, gaseous, 5 bar, from electrochemical methanation, at fuelling station;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;Production of synthetic methane from hydrogen and biogenic carbon.;;material;Fuels\Synthetic\Transformation
Methanol distillation;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);;;material;Fuels\Synthetic\Transformation
Methanol Synthesis;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);Methanol production from hydrogen and carbon dioxide. The carbon dioxide is supplied by direct air capture.;;material;Fuels\Synthetic\Transformation
Module fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Module lid;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Module packaging;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
MTG production facility, construction;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);;;material;Fuels\Synthetic\Transformation\Infrastructure
Multilayer pouch;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
NCA electrode material (LiNi0.8Co0.15Al0.05O2);Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Negative current collector Cu;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Negative electrode paste;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Ni1/3Co1/3Mn1/3(OH)2;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Oil Palm Tree Cultivation {RER} | Fresh Fruit Bunches (FFBs) production | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
Outer frame;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
PEM electrolyzer, ACDC Converter;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
PEM electrolyzer, Balance of Plant;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
PEM electrolyzer, Operation and Maintenance;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
PEM electrolyzer, Stack;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
PEM Fuel Cell;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
Pipe fitting;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;material;Fuels\Hydrogen\Transformation\Infrastructure
pipeline, supercritical CO2/km;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;material;Fuels\Synthetic\Transformation\Infrastructure
Plant oil from crude oil | refining of vegetable oil from oil palm|;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
Plant oil production | refining of crude vegetable oil from rapeseed| Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
Positive active material;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05313;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Positive current collector Al;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05313;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Positive electrode paste;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05313;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
production of 2 wt-% potassium iodide solution;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;;;material;Fuels\Synthetic\Transformation\Infrastructure
production of nickle-based catalyst for methanation;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;;;material;Fuels\Synthetic\Transformation\Infrastructure
pumps, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
Radiator;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Rapeseed cultivation {RER} | rapeseed production Europe | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
Refined Waste Cooking Oil {RER} | Refining of waste cooking oil Europe | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
RWGS tank construction;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Tank for reverse water gas shift reactor to produce carbon monoxide out of carbon dioxide. Used in the production of synthetic diesel.;;material;Fuels\Synthetic\Transformation\Infrastructure
RWGS catalyst;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Catalyst used for RWGS reaction. A RWGS catalyst S�dchemie Shiftmax 240 is proposed. This catalyst consists of 57% CuO, 31% ZnO and 11% Al2O3.;;material;Fuels\Synthetic\Transformation\Infrastructure
Sabatier reaction methanation unit;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;;;material;Fuels\Synthetic\Transformation\Infrastructure
Selective coating, sputtering;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Separator;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Separator, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Separator, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
SMR BM, HT+LT, + CCS (MDEA), 98 (average), digestate incineration, 26 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
SMR BM, HT+LT, with digestate incineration, 26 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;;;material;Fuels\Hydrogen\Transformation
SMR NG + CCS (MDEA), 98 (average), 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Production of hydrogen by steam methane reforming of natural gas, with carbon capture and storage, pressurized at 25 bar.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
SMR NG + CCS (MDEA), 98 (average), 700 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
SMR NG, 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;;;material;Fuels\Hydrogen
SMR NG, 700 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;;;material;Fuels\Hydrogen
softwood forestry, mixed species, sustainable forest management, CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Synthetic\Feedstock
softwood forestry, pine, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Synthetic\Feedstock
softwood forestry, pine, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Synthetic\Feedstock
softwood forestry, spruce, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Synthetic\Feedstock
Sohio process;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;Process involved in the manufacture of carbon fibre.;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Stack;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
storage module, high pressure, at fuelling station;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
Strap retention;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Straw bales | baling of straw;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
straw pellets;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
Sugar beet cultivation {RER} | sugar beet production Europe | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Ethanol\Transformation
Syngas, RWGS, Production;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Production of synthetic gas from hydrogen and carbon monoxide that feeds into the Fischer-Tropsch process to produce synthetic diesel. Adapted from van der Giesen et al. 2014. Density of syngas: 0.470kg/m3 @1 bar. LHV: 23.9 MJ/kg.;;material;Fuels\Synthetic\Transformation
Tab Aluminum;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Tab Copper;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Textile, carbon cloth;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Thermal pad;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Tie-rods;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
transport, pipeline, supercritical CO2, 200km w/o recompression;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
transport, pipeline, supercritical CO2, 200km w recompression;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
Tray lid;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Tray seal;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Tray with fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
transformer and rectifier unit, for electrolyzer;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Synthetic\Transformation\Infrastructure
treatment of biowaste by anaerobic digestion, with biogenic carbon uptake, lower bound C sequestration, digestate incineration;Zhang et al., 2020, doi: 10.1039/C9SE00986H;Biogas production from anaerobic digestion of biomass residues.;;material;Fuels\Biofuels\Biogas\Transformation
treatment of sewage sludge by anaerobic digestion;Zhang et al., 2020, doi: 10.1039/C9SE00986H;Production of biogas from anaerobic digestion of sewage sludge.;;material;Fuels\Biofuels\Biogas\Transformation
Walls and foundations, for hydrogen refuelling station;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
Waste Cooking Oil;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Residual vegetal oil for the production of biodiesel.;;material;Fuels\Biofuels\Biodiesel\Transformation
Weaving, carbon cloth;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;weaving of acrylonitrile-based carbon fibre into fabric.;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Wheat grain cultivation, drying and storage {RER} | wheat grain production Europe | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Residual vegetal oil for the production of biodiesel.;;material;Fuels\Biofuels\Ethanol\Transformation
wiring and tubing, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
woodchips from forestry residues;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Residual vegetal oil for the production of biodiesel.;;material;Fuels\Biofuels\Ethanol\Transformation
transport, passenger car; Sacchi, R., Bauer, C., Cox, B. and Mutel, C. (in review) carculator: an open-source tool for prospective environmental and economic life cycle assessment of vehicles. When, Where and How can battery-electric vehicles help reduce greenhouse gas emissions? Submitted to Renewable and Sustainable Energy Reviews.;Cradle-to-grave life cycle inventory of the transport activity using a passenger car over 1 km. carculator is a open-source parametrized truck model that produces life cycle inventories for any desired set of parameters value (lifetime, occupancy rate, power, battery size, fuel blend, etc.): to produce your own inventories, go to https://github.com/romainsacchi/carculator or contact carculator@psi.ch.;;transport;Road\Transformation
passenger car; Sacchi, R., Bauer, C., Cox, B. and Mutel, C. (in review) carculator: an open-source tool for prospective environmental and economic life cycle assessment of vehicles. When, Where and How can battery-electric vehicles help reduce greenhouse gas emissions? Submitted to Renewable and Sustainable Energy Reviews.;Cradle-to-grave life cycle inventory of a passenger car over its lifetime. carculator is a open-source parametrized truck model that produces life cycle inventories for any desired set of parameters value (lifetime, occupancy rate, power, battery size, fuel blend, etc.): to produce your own inventories, go to https://github.com/romainsacchi/carculator or contact carculator@psi.ch.;;transport;Road\Transformation\Infrastructure
fuel supply;;Fuel supply for vehicles. Represents the fuel blends used. If synthetic fuels are part of the blend, the electricity input to produce them (e.g., to operate the electrolysis) is added separately in this dataset.;;transport;Road\Transformation\Infrastructure
